[0] Type: delta | Hash: 138acf38
[1] Type: gamma | Hash: 6a51479a
[2] Type: gamma | Hash: 8c2a43d3
[3] Type: alpha | Hash: a7acdb6a
[4] Type: alpha | Hash: 6e7955a8
[5] Type: alpha | Hash: e5b62248
[6] Type: delta | Hash: 8dac0948
[7] Type: alpha | Hash: ea297fed
[8] Type: gamma | Hash: 38e9f298
[9] Type: beta | Hash: ef790947
[10] Type: beta | Hash: 21751c1f
[11] Type: delta | Hash: a71c1086
[12] Type: alpha | Hash: 4db26fc3
[13] Type: alpha | Hash: ad74aa1d
[14] Type: gamma | Hash: 02cfd780
[15] Type: beta | Hash: d403baf8
[16] Type: beta | Hash: b8657676
[17] Type: delta | Hash: 3ccc391f
[18] Type: delta | Hash: 25567802
[19] Type: gamma | Hash: 6dba105e
[20] Type: alpha | Hash: a2c92645
[21] Type: beta | Hash: cf09cfde
[22] Type: gamma | Hash: 76525a9b
[23] Type: alpha | Hash: 43be6ce1
[24] Type: gamma | Hash: 5c5d2123
[25] Type: alpha | Hash: 3b6d0f98
[26] Type: delta | Hash: 3d1a8061
[27] Type: beta | Hash: cf0394d2
[28] Type: beta | Hash: 4705fa36
[29] Type: alpha | Hash: a7621815
[30] Type: delta | Hash: 4c3ebd4b
[31] Type: beta | Hash: 4238ee60
[32] Type: beta | Hash: d3d2b6f3
[33] Type: delta | Hash: 41b6e104
[34] Type: alpha | Hash: 4961f409
[35] Type: beta | Hash: e06b6e39
[36] Type: delta | Hash: d927bcf1
[37] Type: delta | Hash: 985fa7c4
[38] Type: alpha | Hash: 269aeeba
[39] Type: beta | Hash: 2561f29d
[40] Type: gamma | Hash: 619596c6
[41] Type: alpha | Hash: 55f962d8
[42] Type: gamma | Hash: 8d0c40b1
[43] Type: gamma | Hash: 737aa442
[44] Type: alpha | Hash: 0dd4a2e5
[45] Type: beta | Hash: 24e83ade
[46] Type: delta | Hash: 56d978a5
[47] Type: gamma | Hash: 515f76f2
[48] Type: beta | Hash: d89036ea
[49] Type: gamma | Hash: 2355901b
[50] Type: alpha | Hash: 1f5df9f0
[51] Type: beta | Hash: 5ef0bb4d
[52] Type: delta | Hash: 112f5bf3
[53] Type: gamma | Hash: dec71d38
[54] Type: alpha | Hash: a6396811
[55] Type: beta | Hash: 6ed68c0f
[56] Type: beta | Hash: 18b81d9e
[57] Type: alpha | Hash: 3e8ecedb
[58] Type: gamma | Hash: 8fcdc993
[59] Type: delta | Hash: 21876e37
[60] Type: gamma | Hash: 98765cae
[61] Type: gamma | Hash: d1c33349
[62] Type: gamma | Hash: 1292fd26
[63] Type: gamma | Hash: f4481981
[64] Type: alpha | Hash: 6ea4bd6f
[65] Type: gamma | Hash: 582f9abc
[66] Type: gamma | Hash: 0f1d8c5d
[67] Type: alpha | Hash: af5560e4
[68] Type: delta | Hash: 3fc0d557
[69] Type: gamma | Hash: 088f6991
[70] Type: alpha | Hash: d86a2b1a
[71] Type: delta | Hash: 0edbd109
[72] Type: gamma | Hash: ab716d95
[73] Type: gamma | Hash: f11a8d83
[74] Type: delta | Hash: 8735f27b
[75] Type: alpha | Hash: 06f66dcb
[76] Type: gamma | Hash: 4f39e53c
[77] Type: beta | Hash: 099848f9
[78] Type: gamma | Hash: c633657b
[79] Type: alpha | Hash: 8ec3ca49
[80] Type: gamma | Hash: 03f09b6a
[81] Type: beta | Hash: c46225a0
[82] Type: beta | Hash: f9235fe9
[83] Type: gamma | Hash: 9403dfc2
[84] Type: alpha | Hash: 0da6ff22
[85] Type: gamma | Hash: 849f5297
[86] Type: gamma | Hash: 30c6534c
[87] Type: alpha | Hash: 0d6d719d
[88] Type: beta | Hash: 3ad58047
[89] Type: delta | Hash: ee5ee9fd
[90] Type: beta | Hash: 2c427d6d
[91] Type: beta | Hash: 9dd69774
[92] Type: alpha | Hash: 818769f3
[93] Type: gamma | Hash: c458099a
[94] Type: gamma | Hash: 466fcbfe
[95] Type: beta | Hash: 7204aeeb
